#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
196985	850594	852088	31191	32529	YFR034C	YDR477W	PHO4	SNF1	phosphate-sensing transcription factor PHO4|phoD|L000001420	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	Affinity Capture-MS	physical	Graumann J (2004)	14660704	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
196987	850594	851076	31191	31623	YFR034C	YLR362W	PHO4	STE11	phosphate-sensing transcription factor PHO4|phoD|L000001420	mitogen-activated protein kinase kinase kinase STE11|L000002118	Affinity Capture-MS	physical	Graumann J (2004)	14660704	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
323656	850594	856382	31191	36419	YFR034C	YHL007C	PHO4	STE20	phosphate-sensing transcription factor PHO4|phoD|L000001420	mitogen-activated protein kinase kinase kinase kinase STE20|L000002123	Negative Genetic	genetic	Fiedler D (2009)	19269370	559292	559292	High Throughput	-2.520328	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
1906276	850594	851558	31191	32048	YFR034C	YDL006W	PHO4	PTC1	phosphate-sensing transcription factor PHO4|phoD|L000001420	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	Positive Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	0.3526	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: pho4 - ptc1 [SGA score = 0.3526, P-value = 0.001232]	-	BIOGRID
2113327	850594	853744	31191	34019	YFR034C	YKL116C	PHO4	PRR1	phosphate-sensing transcription factor PHO4|phoD|L000001420	serine/threonine protein kinase PRR1	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1594	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: pho4 - prr1 [SGA score = -0.1594, P-value = 0.01837]	-	BIOGRID
442744	852809	855170	33177	35316	YGL071W	YMR139W	AFT1	RIM11	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	GSK3|MDS1|serine/threonine protein kinase RIM11|L000001056	Dosage Growth Defect	genetic	Berthelet S (2010)	20439772	559292	559292	High Throughput	-	-	vegetative growth	-	-	BIOGRID
540834	852809	856860	33177	36867	YGL071W	YER123W	AFT1	YCK3	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	CKI3|casein kinase YCK3|L000002915	Positive Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	2.192375	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
540860	852809	856866	33177	36873	YGL071W	YER129W	AFT1	SAK1	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	PAK1|serine/threonine protein kinase SAK1|L000001333	Positive Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	2.105028	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
540901	852809	851558	33177	32048	YGL071W	YDL006W	AFT1	PTC1	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.564243	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
540980	852809	852088	33177	32529	YGL071W	YDR477W	AFT1	SNF1	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-4.586798	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
542564	852809	851421	33177	31927	YGL071W	YDL134C	AFT1	PPH21	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	phosphoprotein phosphatase 2A catalytic subunit PPH21|L000001472	Positive Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	2.496428	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2115028	852809	853522	33177	33816	YGL071W	YJR059W	AFT1	PTK2	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	STK2|protein kinase PTK2|L000003492	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1223	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: aft1 - ptk2 [SGA score = -0.1223, P-value = 0.04712]	-	BIOGRID
2115040	852809	855256	33177	35394	YGL071W	YMR216C	AFT1	SKY1	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	serine/threonine protein kinase SKY1|L000003941	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1998	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: aft1 - sky1 [SGA score = -0.1998, P-value = 0.0005229]	-	BIOGRID
2392101	852809	850803	33177	31384	YGL071W	YLR113W	AFT1	HOG1	RCS1|DNA-binding transcription factor AFT1|L000002660|L000001594	SSK3|mitogen-activated protein kinase HOG1|L000000797	Affinity Capture-Western	physical	Martins TS (2018)	29032057	559292	559292	Low Throughput	-	-	-	interaction decreased in the absence of Isc1	-	BIOGRID
200147	852719	856366	33096	36403	YGL158W	YHL020C	RCK1	OPI1	putative serine/threonine protein kinase RCK1|L000001592	transcriptional regulator OPI1|L000001303	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
200702	852696	855964	33075	36043	YGL179C	YPL139C	TOS3	UME1	serine/threonine protein kinase TOS3	WTM3|L000003500	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
200726	852696	855704	33075	35799	YGL179C	YNL027W	TOS3	CRZ1	serine/threonine protein kinase TOS3	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
197831	852695	855704	33074	35799	YGL180W	YNL027W	ATG1	CRZ1	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
197881	852695	855005	33074	35163	YGL180W	YML007W	ATG1	YAP1	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
197883	852695	850594	33074	31191	YGL180W	YFR034C	ATG1	PHO4	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	phosphate-sensing transcription factor PHO4|phoD|L000001420	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
379223	852695	855005	33074	35163	YGL180W	YML007W	ATG1	YAP1	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1951	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
541525	852695	851724	33074	32200	YGL180W	YDR146C	ATG1	SWI5	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	DNA-binding transcription factor SWI5|L000002253	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-3.41044	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
910769	852695	855005	33074	35163	YGL180W	YML007W	ATG1	YAP1	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	Negative Genetic	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.195	-	colony size|vegetative growth	score threshold <= -0.12, interaction detected by Synthetic Genetic Array (SGA)	-	BIOGRID
2117398	852695	855005	33074	35163	YGL180W	YML007W	ATG1	YAP1	APG1|AUT3|CVT10|serine/threonine protein kinase ATG1|L000003955|S000028502|L000004761	PAR1|SNQ3|DNA-binding transcription factor YAP1|L000001364	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1629	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: atg1 - yap1 [SGA score = -0.1629, P-value = 4.578E-8]	-	BIOGRID
102078	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
141613	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Two-hybrid	physical	Printen JA (1994)	7851759	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
143236	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Reconstituted Complex	physical	Madhani HD (1997)	9393860	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
151525	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Biochemical Activity	physical	Breitkreutz A (2001)	11525741	559292	559292	Low Throughput	-	Phosphorylation	-	-	-	BIOGRID
259059	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Dosage Rescue	genetic	Schrick K (1997)	9286665	559292	559292	Low Throughput	-	-	mating efficiency:partial rescue	in fus3 kss1 background	-	BIOGRID
318980	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Two-hybrid	physical	Yu H (2008)	18719252	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
439968	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Affinity Capture-MS	physical	Breitkreutz A (2010)	20489023	559292	559292	High Throughput	1.0	-	-	-	-	BIOGRID
543479	852931	851799	33287	32267	YGR040W	YDR213W	KSS1	UPC2	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	MOX4	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.698779	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
616524	852931	856484	33287	36519	YGR040W	YHR084W	KSS1	STE12	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	homeodomain family transcription factor STE12|L000002119	Phenotypic Suppression	genetic	Wang X (2011)	22114773	559292	559292	Low Throughput	-	-	RNA accumulation:partial rescue	overexpression of Ste12 suppresses defects in expression of transcription targets in fus3, kss1, ste11 and far1 mutants	-	BIOGRID
2359216	852931	855522	33287	35635	YGR040W	YNL199C	KSS1	GCR2	mitogen-activated serine/threonine-protein kinase KSS1|L000000922	L000000691	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-3.0	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
2120252	852943	856583	33297	36611	YGR052W	YHR178W	FMP48	STB5	protein kinase FMP48	L000003368	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.1337	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: fmp48 - stb5 [SGA score = -0.1337, P-value = 0.009587]	-	BIOGRID
155679	856382	856484	36419	36519	YHL007C	YHR084W	STE20	STE12	mitogen-activated protein kinase kinase kinase kinase STE20|L000002123	homeodomain family transcription factor STE12|L000002119	Dosage Rescue	genetic	Ramer SW (1993)	8421676	559292	559292	Low Throughput	-	-	mating efficiency:partial rescue	-	-	BIOGRID
160510	856382	856484	36419	36519	YHL007C	YHR084W	STE20	STE12	mitogen-activated protein kinase kinase kinase kinase STE20|L000002123	homeodomain family transcription factor STE12|L000002119	Dosage Rescue	genetic	Schrick K (1997)	9286665	559292	559292	Low Throughput	-	-	mating efficiency:partial rescue	-	-	BIOGRID
160560	856382	856484	36419	36519	YHL007C	YHR084W	STE20	STE12	mitogen-activated protein kinase kinase kinase kinase STE20|L000002123	homeodomain family transcription factor STE12|L000002119	Phenotypic Enhancement	genetic	Liu H (1993)	8259520	559292	559292	Low Throughput	-	-	filamentous growth	-	-	BIOGRID
200574	856382	855704	36419	35799	YHL007C	YNL027W	STE20	CRZ1	mitogen-activated protein kinase kinase kinase kinase STE20|L000002123	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	Biochemical Activity	physical	Ptacek J (2005)	16319894	559292	559292	High Throughput	-	Phosphorylation	-	32P incorporation on protein chip	-	BIOGRID
436127	856382	856484	36419	36519	YHL007C	YHR084W	STE20	STE12	mitogen-activated protein kinase kinase kinase kinase STE20|L000002123	homeodomain family transcription factor STE12|L000002119	Dosage Rescue	genetic	Akada R (1996)	8722766	559292	559292	Low Throughput	-	-	mating response:partial rescue	-	-	BIOGRID
324347	856366	853574	36403	33866	YHL020C	YJR110W	OPI1	YMR1	transcriptional regulator OPI1|L000001303	phosphatidylinositol-3-phosphatase YMR1	Negative Genetic	genetic	Fiedler D (2009)	19269370	559292	559292	High Throughput	-2.630985	-	colony size	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.0 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID
507575	856366	853718	36403	33997	YHL020C	YKL139W	OPI1	CTK1	transcriptional regulator OPI1|L000001303	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Negative Genetic	genetic	Zheng J (2010)	20959818	559292	559292	High Throughput	-6.051881959	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (epistatic or suppressor interactions) and S score < -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
541084	856366	851558	36403	32048	YHL020C	YDL006W	OPI1	PTC1	transcriptional regulator OPI1|L000001303	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.702297	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
1534138	856366	856076	36403	36147	YHL020C	YPL031C	OPI1	PHO85	transcriptional regulator OPI1|L000001303	LDB15|cyclin-dependent serine/threonine-protein kinase PHO85|phoU|L000001431	Reconstituted Complex	physical	Kliewe F (2016)	27743455	559292	559292	Low Throughput	-	-	-	Figure 2	-	BIOGRID
1534139	856366	856076	36403	36147	YHL020C	YPL031C	OPI1	PHO85	transcriptional regulator OPI1|L000001303	LDB15|cyclin-dependent serine/threonine-protein kinase PHO85|phoU|L000001431	Two-hybrid	physical	Kliewe F (2016)	27743455	559292	559292	Low Throughput	-	-	-	Figure 4	-	BIOGRID
2124785	856366	851558	36403	32048	YHL020C	YDL006W	OPI1	PTC1	transcriptional regulator OPI1|L000001303	CWH47|KCS2|TPD1|type 2C protein phosphatase PTC1|L000000890|L000001523	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.2447	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: opi1 - ptc1 [SGA score = -0.2447, P-value = 0.002615]	-	BIOGRID
2124793	856366	852088	36403	32529	YHL020C	YDR477W	OPI1	SNF1	transcriptional regulator OPI1|L000001303	CAT1|CCR1|GLC2|HAF3|PAS14|AMP-activated serine/threonine-protein kinase catalytic subunit SNF1|L000001944	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.2667	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: opi1 - snf1-supp1 [SGA score = -0.2667, P-value = 6.829E-5]	-	BIOGRID
327589	856425	856366	36461	36403	YHR030C	YHL020C	SLT2	OPI1	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	transcriptional regulator OPI1|L000001303	Dosage Rescue	genetic	Nunez LR (2008)	18842580	559292	559292	Low Throughput	-	-	auxotrophy:wild type	Data not shown.	-	BIOGRID
385175	856425	851724	36461	32200	YHR030C	YDR146C	SLT2	SWI5	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	DNA-binding transcription factor SWI5|L000002253	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.5529	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
440637	856425	856484	36461	36519	YHR030C	YHR084W	SLT2	STE12	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	homeodomain family transcription factor STE12|L000002119	Affinity Capture-MS	physical	Breitkreutz A (2010)	20489023	559292	559292	High Throughput	0.981	-	-	-	-	BIOGRID
450468	856425	851724	36461	32200	YHR030C	YDR146C	SLT2	SWI5	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	DNA-binding transcription factor SWI5|L000002253	Synthetic Growth Defect	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	vegetative growth	-	-	BIOGRID
486025	856425	855704	36461	35799	YHR030C	YNL027W	SLT2	CRZ1	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	HAL8|TCN1|DNA-binding transcription factor CRZ1|L000004202	PCA	physical	Hruby A (2011)	21118957	559292	559292	High Throughput	-	-	-	split-ubiquitin assay	-	BIOGRID
486028	856425	855554	36461	35661	YHR030C	YNL167C	SLT2	SKO1	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	ACR1|L000001909	PCA	physical	Hruby A (2011)	21118957	559292	559292	High Throughput	-	-	-	split-ubiquitin assay	-	BIOGRID
541338	856425	851724	36461	32200	YHR030C	YDR146C	SLT2	SWI5	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	DNA-binding transcription factor SWI5|L000002253	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-9.039453	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).|An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
541413	856425	850513	36461	31115	YHR030C	YFL031W	SLT2	HAC1	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	ERN4|IRE15|transcription factor HAC1|L000002611	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.710094	-	colony size	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
542910	856425	851542	36461	32035	YHR030C	YDL020C	SLT2	RPN4	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	Negative Genetic	genetic	Bandyopadhyay S (2010)	21127252	559292	559292	High Throughput	-2.714313	-	colony size|resistance to chemicals	An Epistatic MiniArray Profile (E-MAP) approach was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants in MMS-treated conditions.  Genetic interactions were considered significant if they had an S score >=2.0 for positive interactions (epistatic or suppressor interactions) and S score <=2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
909273	856425	853390	36461	33698	YHR030C	YJL056C	SLT2	ZAP1	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	ZRG10|L000003321	Dosage Growth Defect	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.32	-	colony size|vegetative growth	score threshold  >=0.2=<	-	BIOGRID
909316	856425	851542	36461	32035	YHR030C	YDL020C	SLT2	RPN4	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	SON1|UFD5|stress-regulated transcription factor RPN4|L000001984	Dosage Growth Defect	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.243	-	colony size|vegetative growth	score threshold  >=0.2=<	-	BIOGRID
909590	856425	850928	36461	31498	YHR030C	YLR228C	SLT2	ECM22	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	L000004375	Dosage Growth Defect	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.45	-	colony size|vegetative growth	score threshold  >=0.2=<	-	BIOGRID
909781	856425	851724	36461	32200	YHR030C	YDR146C	SLT2	SWI5	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	DNA-binding transcription factor SWI5|L000002253	Negative Genetic	genetic	Sharifpoor S (2012)	22282571	559292	559292	High Throughput	-0.553	-	colony size|vegetative growth	score threshold <= -0.12, interaction detected by Synthetic Genetic Array (SGA)	-	BIOGRID
2125882	856425	851724	36461	32200	YHR030C	YDR146C	SLT2	SWI5	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	DNA-binding transcription factor SWI5|L000002253	Negative Genetic	genetic	Costanzo M (2016)	27708008	559292	559292	High Throughput	-0.513	-	colony size	Genetic interactions were considered significant if they had a p-value < 0.05 and an SGA score > 0.16 for positive interactions and SGA score < -0.12 for negative interactions.|alleles: slt2 - swi5 [SGA score = -0.5130, P-value = 1.074E-16]	-	BIOGRID
2202748	856425	851119	36461	31660	YHR030C	YLR403W	SLT2	SFP1	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	zinc-coordinating transcription factor SFP1|[ISP+]|[ISP(+)]|L000001872	Dosage Lethality	genetic	Youn JY (2017)	28122947	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
2358152	856425	854042	36461	34293	YHR030C	YOL108C	SLT2	INO4	BYC2|LYT2|MPK1|SLK2|mitogen-activated serine/threonine-protein kinase SLT2|L000001919	L000000869	Negative Genetic	genetic	Srivas R (2016)	27453043	559292	559292	High Throughput	-2.99	-	colony size	Untreated conditions. SGA was used to score genetic interactions based on the colony size of double versus single mutants. Genetic interactions were considered significant if they had an S score >= 2.0 for positive interactions (epistatic or suppressor interactions) and S score <= -2.5 for negative interactions (synthetic sick/lethal interactions).	-	BIOGRID
